"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family","Scientific Name"
"RAPEA","RAAR9","Ranunculus arcticus Richardson","","Ranunculaceae","Ranunculus arcticus"
"RAPEA","RAPEA3","Ranunculus pedatifidus Sm. ssp. affinis (R. Br.) Hultén","","Ranunculaceae","Ranunculus pedatifidus ssp. affinis"
"RAPEA","RAPEL","Ranunculus pedatifidus Sm. var. leiocarpus (Trautv.) Fernald","","Ranunculaceae","Ranunculus pedatifidus var. leiocarpus"
"RAPHA","","Raphanus L.","radish","Brassicaceae","Raphanus"
"RAPO","","Ranunculus populago Greene","popular buttercup","Ranunculaceae","Ranunculus populago"
"RAPY","","Ranunculus pygmaeus Wahlenb.","pygmy buttercup","Ranunculaceae","Ranunculus pygmaeus"
"RAPYP2","","Ranunculus pygmaeus Wahlenb. var. pygmaeus","pygmy buttercup","Ranunculaceae","Ranunculus pygmaeus var. pygmaeus"
"RARA2","","Raphanus raphanistrum L.","wild radish","Brassicaceae","Raphanus raphanistrum"
"RARE2","","Ranunculus recurvatus Poir.","blisterwort","Ranunculaceae","Ranunculus recurvatus"
"RARE3","","Ranunculus repens L.","creeping buttercup","Ranunculaceae","Ranunculus repens"
"RARE3","RARED","Ranunculus repens L. var. degeneratus Schur","","Ranunculaceae","Ranunculus repens var. degeneratus"
"RARE3","RAREE","Ranunculus repens L. var. erectus DC.","","Ranunculaceae","Ranunculus repens var. erectus"
"RARE3","RAREG","Ranunculus repens L. var. glabratus DC.","","Ranunculaceae","Ranunculus repens var. glabratus"
"RARE3","RAREL","Ranunculus repens L. var. linearilobus DC.","","Ranunculaceae","Ranunculus repens var. linearilobus"
"RARE3","RAREP","Ranunculus repens L. var. pleniflorus Fernald","","Ranunculaceae","Ranunculus repens var. pleniflorus"
"RARE3","RARET3","Ranunculus repens L. var. typicus G. Beck","","Ranunculaceae","Ranunculus repens var. typicus"
"RARE3","RAREV","Ranunculus repens L. var. villosus Lamotte","","Ranunculaceae","Ranunculus repens var. villosus"
"RARER2","","Ranunculus recurvatus Poir. var. recurvatus","blisterwort","Ranunculaceae","Ranunculus recurvatus var. recurvatus"
"RARER2","RAREA","Ranunculus recurvatus Poir. var. adpressipilis Weath.","","Ranunculaceae","Ranunculus recurvatus var. adpressipilis"
"RARER2","RARET","Ranunculus recurvatus Poir. var. typicus L.D. Benson","","Ranunculaceae","Ranunculus recurvatus var. typicus"
"RARH","","Ranunculus rhomboideus Goldie","Labrador buttercup","Ranunculaceae","Ranunculus rhomboideus"
"RARH","RAOV2","Ranunculus ovalis Raf.","","Ranunculaceae","Ranunculus ovalis"
"RASA","","Ranunculus sardous Crantz","hairy buttercup","Ranunculaceae","Ranunculus sardous"
"RASA","RAPA6","Ranunculus parvulus L.","","Ranunculaceae","Ranunculus parvulus"
"RASA2","","Raphanus sativus L.","wild radish","Brassicaceae","Raphanus sativus"
"RASA2","RARAS","Raphanus raphanistrum L. var. sativus (L.) G. Beck","","Brassicaceae","Raphanus raphanistrum var. sativus"
"RASA2","RASAL","Raphanus sativus L. var. longipinnatus L.H. Bailey","","Brassicaceae","Raphanus sativus var. longipinnatus"
"RASA2","RASAS2","Raphanus sativus L. var. sativus","","Brassicaceae","Raphanus sativus var. sativus"
"RASC3","","Ranunculus sceleratus L.","celeryleaf buttercup","Ranunculaceae","Ranunculus sceleratus"
"RASCM","","Ranunculus sceleratus L. var. multifidus Nutt.","blister buttercup","Ranunculaceae","Ranunculus sceleratus var. multifidus"
"RASCM","RASCM3","Ranunculus sceleratus L. ssp. multifidus (Nutt.) Hultén","","Ranunculaceae","Ranunculus sceleratus ssp. multifidus"
"RASCS","","Ranunculus sceleratus L. var. sceleratus","cursed buttercup","Ranunculaceae","Ranunculus sceleratus var. sceleratus"
"RASCS","HESC9","Hecatonia scelerata (L.) Fourr.","","Ranunculaceae","Hecatonia scelerata"
"RASCS","RASCT","Ranunculus sceleratus L. var. typicus L.D. Benson","","Ranunculaceae","Ranunculus sceleratus var. typicus"
"RAST","","Rainiera stricta (Greene) Greene","false silverback","Asteraceae","Rainiera stricta"
"RAST","LUST9","Luina stricta (Greene) B.L. Rob.","","Asteraceae","Luina stricta"
"RASU4","","Ranunculus suksdorfii A. Gray","Suksdorf's buttercup","Ranunculaceae","Ranunculus suksdorfii"
"RASU4","RAESS","Ranunculus eschscholtzii Schltdl. var. suksdorfii (A. Gray) L.D. Benson","","Ranunculaceae","Ranunculus eschscholtzii var. suksdorfii"
"RATR","","Ranunculus trichophyllus Chaix","whitewater crowfoot","Ranunculaceae","Ranunculus trichophyllus"
"RATR6","","Ranunculus triternatus A. Gray","obscure buttercup","Ranunculaceae","Ranunculus triternatus"
"RATR6","RAGLR","Ranunculus glaberrimus Hook. var. reconditus L.D. Benson","","Ranunculaceae","Ranunculus glaberrimus var. reconditus"
"RATR6","RARE5","Ranunculus reconditus A. Nelson & J.F. Macbr., nom. illeg.","","Ranunculaceae","Ranunculus reconditus nom. illeg."
"RATRT","","Ranunculus trichophyllus Chaix var. trichophyllus","hairleaf water buttercup","Ranunculaceae","Ranunculus trichophyllus var. trichophyllus"
"RATRT","BAFL2","Batrachium flaccidum (Pers.) Rupr.","","Ranunculaceae","Batrachium flaccidum"
"RATRT","BAPO3","Batrachium porteri (Britton) Britton","","Ranunculaceae","Batrachium porteri"
"RATRT","BATR2","Batrachium trichophyllum (Chaix) F.W. Schultz","","Ranunculaceae","Batrachium trichophyllum"
"RATRT","RAAQC3","Ranunculus aquatilis L. var. calvescens (W. Drew) L.D. Benson","","Ranunculaceae","Ranunculus aquatilis var. calvescens"
"RATRT","RAAQC2","Ranunculus aquatilis L. var. capillaceus (Thuill.) DC.","","Ranunculaceae","Ranunculus aquatilis var. capillaceus"
"RATRT","RAAQH2","Ranunculus aquatilis L. var. harrisii L.D. Benson","","Ranunculaceae","Ranunculus aquatilis var. harrisii"
"RATRT","RAAQL3","Ranunculus aquatilis L. var. lalondei L.D. Benson","","Ranunculaceae","Ranunculus aquatilis var. lalondei"
"RATRT","RAAQP2","Ranunculus aquatilis L. var. porteri (Britton) L.D. Benson","","Ranunculaceae","Ranunculus aquatilis var. porteri"
"RATRT","RAAQT2","Ranunculus aquatilis L. var. trichophyllus (Chaix) A. Gray","","Ranunculaceae","Ranunculus aquatilis var. trichophyllus"
"RATRT","RAFL3","Ranunculus flaccidus Pers.","","Ranunculaceae","Ranunculus flaccidus"
"RATRT","RATRC2","Ranunculus trichophyllus Chaix var. calvescens W. Drew","","Ranunculaceae","Ranunculus trichophyllus var. calvescens"
"RATRT","RATRT2","Ranunculus trichophyllus Chaix var. typicus W. Drew","","Ranunculaceae","Ranunculus trichophyllus var. typicus"
"RAUN","","Ranunculus uncinatus D. Don ex G. Don","hooked buttercup","Ranunculaceae","Ranunculus uncinatus"
"RAUNP","","Ranunculus uncinatus D. Don ex G. Don var. parviflorus (Torr.) L.D. Benson","common Idaho buttercup","Ranunculaceae","Ranunculus uncinatus var. parviflorus"
"RAUNP","RABO2","Ranunculus bongardii Greene","","Ranunculaceae","Ranunculus bongardii"
"RAUNP","RAOCP","Ranunculus occidentalis Nutt. var. parviflorus Torr.","","Ranunculaceae","Ranunculus occidentalis var. parviflorus"
"RAUNU","","Ranunculus uncinatus D. Don ex G. Don var. uncinatus","woodland buttercup","Ranunculaceae","Ranunculus uncinatus var. uncinatus"
"RAUNU","RABOT2","Ranunculus bongardii Greene var. tenellus (Nutt.) Greene","","Ranunculaceae","Ranunculus bongardii var. tenellus"
"RAUNU","RAUNT","Ranunculus uncinatus D. Don ex G. Don var. typicus L.D. Benson","","Ranunculaceae","Ranunculus uncinatus var. typicus"
"RAVE","","Ranunculus verecundus B.L. Rob. ex Piper","wetslope buttercup","Ranunculaceae","Ranunculus verecundus"
"REAL","","Reseda alba L.","white upright mignonette","Resedaceae","Reseda alba"
"RELU2","","Reseda luteola L.","weld","Resedaceae","Reseda luteola"
"RELU2","RELUG","Reseda luteola L. ssp. gussonei (Boiss. & Reut.) Nyman","","Resedaceae","Reseda luteola ssp. gussonei"
"RESED","","Reseda L.","mignonette","Resedaceae","Reseda"
"RHAL","","Rhamnus alnifolia L'Hér.","alderleaf buckthorn","Rhamnaceae","Rhamnus alnifolia"
"RHAL2","","Rhododendron albiflorum Hook.","Cascades azalea","Ericaceae","Rhododendron albiflorum"
"RHAL3","","Rhynchospora alba (L.) Vahl","whitebeaked rush","Cyperaceae","Rhynchospora alba"
"RHAL3","RHLU2","Rhynchospora luquillensis Britton","","Cyperaceae","Rhynchospora luquillensis"
"RHALA","","Rhododendron albiflorum Hook. var. albiflorum","Cascade azalea","Ericaceae","Rhododendron albiflorum var. albiflorum"
"RHALA","AZAL2","Azaleastrum albiflorum (Hook.) Rydb.","","Ericaceae","Azaleastrum albiflorum"
"RHAMN","","Rhamnus L.","buckthorn","Rhamnaceae","Rhamnus"
"RHGL","","Rhus glabra L.","smooth sumac","Anacardiaceae","Rhus glabra"
"RHGL","RHCA15","Rhus calophylla Greene","","Anacardiaceae","Rhus calophylla"
"RHGL","RHGLC2","Rhus glabra L. var. cismontana (Greene) Cockerell","","Anacardiaceae","Rhus glabra var. cismontana"
"RHGL","RHGLL2","Rhus glabra L. var. laciniata Carrière","","Anacardiaceae","Rhus glabra var. laciniata"
"RHGL","RHGLO","Rhus glabra L. var. occidentalis Torr.","","Anacardiaceae","Rhus glabra var. occidentalis"
"RHIN11","","Rhodiola integrifolia Raf.","ledge stonecrop","Crassulaceae","Rhodiola integrifolia"
"RHINA","","Rhinanthus L.","yellow rattle","Scrophulariaceae","Rhinanthus"
"RHINI","","Rhodiola integrifolia Raf. ssp. integrifolia","ledge stonecrop","Crassulaceae","Rhodiola integrifolia ssp. integrifolia"
"RHINI","SEAL9","Sedum alaskanum (Rose) Rose ex Hutch.","","Crassulaceae","Sedum alaskanum"
"RHINI","SEIN4","Sedum integrifolium (Raf.) A. Nelson","","Crassulaceae","Sedum integrifolium"
"RHINI","SEROI3","Sedum rosea (L.) Scop. ssp. integrifolium (Raf.) Hultén","","Crassulaceae","Sedum rosea ssp. integrifolium"
"RHINI","SEROA","Sedum rosea (L.) Scop. var. alaskanum (Rose) A. Berger","","Crassulaceae","Sedum rosea var. alaskanum"
"RHINI","SEROF","Sedum rosea (L.) Scop. var. frigidum (Rydb.) Hultén","","Crassulaceae","Sedum rosea var. frigidum"
"RHINI","SEROI2","Sedum rosea (L.) Scop. var. integrifolium (Raf.) A. Berger","","Crassulaceae","Sedum rosea var. integrifolium"
"RHINI","SEROI4","Sedum roseum (L.) Scop. ssp. integrifolium (Raf.) Hultén, orth. var.","","Crassulaceae","Sedum roseum ssp. integrifolium orth. var."
