Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon
Achillea erba-rotta ssp. rupestris	False		0.0
Achillea rupestris	False		0.0
Acacia estrophiolata	False		0.0
Acaena exigua	False		0.0
Acaena exigua var. glaberrima	False		0.0
Acaena exigua var. glabriuscula	False		0.0
Acaena exigua var. subtusstrigulosa	False		0.0
Acacia extensa	False		0.0
Aconitum ferox	False		0.0
Aciphylla ferox	False		0.0
Achillea filipendulina	False		0.0
Aconitum fischeri	False		0.0
Acacia fimbriata	False		0.0
Acer floridanum	False		0.0
Acer barbatum p.p.	False		0.0
Acer barbatum var. longii	False		0.0
Acer barbatum var. villipes	False		0.0
Acer floridanum var. longii	False		0.0
Acer floridanum var. villipes	False		0.0
Acer nigrum f. var. floridanum	False		0.0
Acer saccharum ssp. floridanum	False		0.0
Acer saccharinum var. floridanum	False		0.0
Acer saccharum var. floridanum	False		0.0
Saccharodendron barbatum	False		0.0
Saccharodendron floridanum	False		0.0
Acacia floribunda	False		0.0
Acarospora fuscata	False		0.0
Acarospora cartilaginea	False		0.0
Acarospora squamulosa	False		0.0
Acarospora fuscescens	False		0.0
Acarospora gallica	False		0.0
Acarospora geogena	False		0.0
Acarospora geophila	False		0.0
Acrocordia gemmata	False		0.0
Arthopyrenia alba	False		0.0
Arthopyrenia gemmata	False		0.0
Arthopyrenia sphaeroides	False		0.0
Acacia genistifolia	False		0.0
Acacia diffusa	False		0.0
Acer ginnala	True	HimaNursery, PlantsoftheWild, 	8.33
Acer tataricum ssp. ginnala	False		0.0
Acer glabrum	True	DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, RainierSeeds, WabashFarms, WoodbrookNativePlantNursery, 	37.5
Acarospora glaucocarpa	False		0.0
Acacia gladiiformis	False		0.0
Acacia glandulicarpa	False		0.0
Acaciella glauca	False		0.0
Acacia glauca	False		0.0
Acacia villosa	False		0.0
Acer glabrum var. diffusum	False		0.0
Acer diffusum	False		0.0
Acer glabrum ssp. diffusum	False		0.0
Acer glabrum var. douglasii	False		0.0
Acer douglasii	False		0.0
Acer glabrum ssp. douglasii	True	DerbyCanyonNatives, 	4.17
Acer glabrum var. greenei	False		0.0
Acer glabrum var. glabrum	False		0.0
Acer glabrum var. tripartitum	False		0.0
Acer glabrum var. typicum	False		0.0
Acer tripartitum	False		0.0
Acer glabrum var. neomexicanum	False		0.0
Acer glabrum ssp. neomexicanum	False		0.0
Acer glabrum var. parviflorum	False		0.0
Acer neomexicanum	False		0.0
Acer glabrum var. torreyi	False		0.0
Acer glabrum ssp. torreyi	False		0.0
Acer torreyi	False		0.0
Achillea grandifolia	False		0.0
Acer griseum	True	HimaNursery, 	4.17
Acorus gramineus	False		0.0
Acmella grandiflora	False		0.0
Acalypha gracilens	False		0.0
Acalypha gracilens var. delzii	False		0.0
Acalypha gracilens var. fraseri	False		0.0
Acalypha virginica var. gracilens	False		0.0
Acer grandidentatum	False		0.0
Acacia gracilifolia	False		0.0
Acer grandidentatum var. grandidentatum	False		0.0
Acer saccharum ssp. grandidentatum	False		0.0
Acer saccharum var. grandidentatum	False		0.0
Saccharodendron grandidentatum	False		0.0
Acer grandidentatum var. sinuosum	False		0.0
Acer brachypterum	False		0.0
Acer grandidentatum var. brachypterum	False		0.0
Acer saccharum ssp. brachypterum	False		0.0
Acer saccharum var. sinuosum	False		0.0
Acer sinuosum	False		0.0
Acarospora hassei	False		0.0
Acacia hakeoides	False		0.0
Achnatherum hendersonii	False		0.0
Oryzopsis hendersonii	False		0.0
Stipa hendersonii	False		0.0
Acrolejeunea heterophylla	False		0.0
Acacia hemiteles	False		0.0
Acacia graffiana	False		0.0
Acarospora heppii	False		0.0
Acarospora heufleriana	False		0.0
Acronychia heterophylla	False		0.0
Acanthospermum hispidum	False		0.0
Acalypha hispida f.	False		0.0
Acarospora hilaris	False		0.0
